Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
September Quarter 2005,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,288,311,294,299,285,299,330,294
,"Cheese, processed, sliced, wrapped (500g)",,427,426,429,420,424,433,478,440
,Butter (500g)(a),,302,326,266,281,261,254,294,278
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650g)(b)     ",,266,267,253,263,250,265,302,263
,"Biscuits, dry (250 g)",,189,191,175,193,181,206,203,191
,"Breakfast cereal, corn based (525 g)(c)",,342,335,337,330,373,384,353,346
,"Flour, self raising (2 kg)",,363,396,304,372,413,261,369,391
,"Rice, long grain (1 kg)",,192,214,196,197,199,217,219,195
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(d),1046,1083,1179,1071,1067,1184,1107,1209
,,Rump steak (1 kg),1783,1896,1872,1910,1666,1742,1790,1901
,,"T-bone steak, with fillet (1 kg)",1809,1758,1923,1820,1884,1621,1992,1821
,,Chuck steak (1 kg),965,917,919,945,980,935,1013,990
,Lamb,,,,,,,,,
,,Leg (1 kg),1001,929,915,991,984,914,917,936
,,Loin chops (1 kg),1687,1604,1748,1683,1617,1652,1771,1783
,,Forequarter chops (1 kg),862,861,860,887,911,857,896,830
,Pork,,,,,,,,,
,,Leg (1 kg),722,794,695,713,663,724,753,797
,,Loin chops (1 kg),1332,1318,1334,1310,1314,1284,1463,1429
,"Chicken, frozen (1 kg)",,415,346,368,362,400,373,391,363
,"Bacon, middle rashers (250 g pkt)",,362,377,372,388,480,358,453,401
,Sausages (1 kg),,510,516,525,546,501,530,465,514
,"Salmon, pink (210 g can)",,234,235,248,230,259,335,272,277
 Fresh fruit and vegetables (e),,,,,,,,,,
,Oranges (1 kg),,225,223,202,138,275,212,338,190
,Bananas (1 kg) ,,267,266,271,285,315,277,293,278
,Potatoes (1 kg),,139,183,153,125,208,168,211,197
,Tomatoes (1 kg),,330,335,322,409,432,400,466,315
,Carrots (1 kg),,204,188,173,180,149,174,227,205
,Onions (1 kg),,202,228,205,198,165,188,271,198
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,267,271,258,246,310,289,301,288
,"Pineapple, sliced (450 g can)",,152,155,157,139,161,167,151,152
,"Peas, frozen (500 g pkt)",,172,153,162,151,163,173,188,172
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,347,391,321,342,332,383,291,325
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(f),(g)",,305,284,293,296,381,339,350,315
,"Sugar, white (2 kg)(g)",,203,201,187,206,237,278,220,211
,"Jam, strawberry (500 g jar)",,282,288,283,255,268,314,296,269
,Teabags (180 g pkt),,366,366,338,346,375,401,348,337
,"Coffee, instant (150 g jar)",,582,590,569,587,652,688,619,578
,Tomato sauce (600 ml),,184,176,178,174,179,205,192,174
,"Margarine, poly-unsaturated (500 g)",,236,245,244,237,237,242,253,246
,"Baked beans, in tomato sauce (420 g)",,137,132,117,138,122,135,129,142
,Baby food (120 g can),,74,72,77,72,75,77,73,74
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,563,564,588,558,568,584,606,598
,Dishwashing detergent (450 ml),,325,339,332,328,349,350,366,352
,Facial tissues (pkt 180),,208,211,209,197,208,219,214,204
,Toilet paper (8 x 190 sheet rolls)(h),,602,492,607,584,496,596,543,652
,Pet food (400 g),,115,118,106,117,109,127,111,108
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,120.4,120.1,111.5,120.8,118.4,126.0,122.6,122.1
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(i)",,2341,2371,2751,2599,3001,2699,2924,2254
,"Beer, full strength (24 x 375 ml bottles)(j)",,3644,3621,3393,3497,3611,3623,3894,3518
,"Draught beer, low alcohol, public bar (285 ml glass)(i)",,211,257,223,291,309,260,247,218
,"Draught beer, full strength, public bar (285 ml glass)(j)",,242,292,246,328,319,306,296,247
,"Scotch nip, public bar (30 ml)",,429,425,381,509,483,382,418,389
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125g),,276,300,271,270,290,308,297,284
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
(c) Formerly 550g.,,,,,,,,,,
"(d) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
"(e) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(f) Eggs in all capital cities have a minimum net carton weight of 700 g per dozen eggs, except Adelaide, Hobart and Darwin where they have a minimum net carton weight of 600 g per dozen.",,,,,,,,,,
,,,,,,,,,,
(g) Represents average price of brand name and generic brand products.,,,,,,,,,,
(h) Formerly 4 x 220 sheet rolls,,,,,,,,,,
(i) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(j) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2005",,,,,,,,,,
