Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_201003 Average Retail Prices of Selected Items, Eight Capital Cities, Mar 2010",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 5 May 2010,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, March quarter 2010",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
Milk 2 ltr whole milk,361,359,320,347,316,370,417,377,
"Cheese, sliced (500g pkt)",547,554,543,577,519,531,632,563,
Butter (500g),399,367,334,375,394,388,461,409,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",386,388,352,370,328,319,412,372,
"Biscuits, dry (250g pkt)",245,243,250,248,249,249,259,249,
"Breakfast cereal, corn based (460g box)",372,375,372,377,346,422,387,369,
"Flour, self raising (2kg)",331,332,347,384,366,389,401,368,
Rice (1kg),260,301,292,269,297,265,320,261,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast beef (1kg),"1,134","1,243","1,207","1,012","1,194","1,151","1,146","1,188",
Rump steak (1kg),"1,889","1,909","2,135","2,053","1,946","2,042","1,976","1,856",
"T-bone steak, with fillet (1kg)","2,086","2,032","2,196","2,006","2,087","2,104","1,936","2,122",
Chuck steak (1kg),"1,159","1,060","1,044","1,078","1,071","1,088","1,039","1,079",
Lamb,,,,,,,,,
Leg (1kg),"1,092","1,003","1,078","1,007","1,043","1,001","1,065","1,056",
Loin chops (1kg),"1,821","1,849","1,870","1,990","2,038","1,936","2,095","1,791",
Forequarter chops (1kg),"1,048","1,083","1,035","1,060","1,135","1,047","1,002",953,
Pork,,,,,,,,,
Leg (1kg),848,891,877,852,760,907,909,854,
Loin chops (1kg),"1,529","1,486","1,544","1,542","1,545","1,543","1,505","1,554",
"Chicken, whole fresh (1kg)",566,594,539,580,617,626,527,573,
"Bacon, middle rashers (1kg)","1,058","1,093","1,099","1,057",979,"1,072","1,097","1,039",
Beef sausages (1kg),614,601,686,682,670,727,621,687,
"Salmon, pink (210g can)",381,313,330,316,367,337,362,391,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),346,268,245,316,379,295,406,319,
Bananas (1kg),310,276,302,305,409,336,427,289,
Potatoes (1kg),155,258,219,278,260,266,307,268,
Tomatoes (1kg),485,403,507,451,418,458,614,481,
Carrots (1kg),213,205,200,207,176,232,277,206,
Onions (1kg),240,234,242,245,226,187,274,242,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),368,362,384,352,373,344,392,360,
"Pineapple, sliced (450g can)",222,223,203,204,223,227,221,217,
"Peas, frozen (500g pkt)",222,224,201,208,209,226,251,193,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (200g block)",359,388,363,364,369,363,396,371,
Other food,,,,,,,,,
Eggs (1 dozen),392,435,407,419,435,425,483,445,
"Sugar, white (2kg)",275,289,270,288,328,411,303,254,
"Jam, strawberry (500g jar)",330,328,340,320,346,342,364,324,
Teabags (180g pkt),434,430,441,400,433,436,431,394,
"Coffee, instant (150g jar)",764,798,798,801,811,799,837,788,
Tomato sauce (600ml bottle),206,208,201,215,228,202,226,206,
"Margarine, poly-unsaturated (500g)",321,330,329,320,325,327,327,326,
"Baked beans, in tomato sauce (420g can)",155,164,149,157,163,162,171,161,
Baby food (110g jar),122,123,120,123,125,126,129,123,
H'hold supplies,,,,,,,,,
Laundry detergent (500g),609,549,540,550,573,549,558,581,
Dishwashing detergent (450ml),356,351,390,311,336,355,356,333,
Facial tissues (170 pack),228,235,225,222,217,224,234,228,
Toilet tissue (8 x 180 sheet rolls),674,665,648,737,699,663,783,664,
Pet food (400g can),136,138,132,138,129,136,146,137,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",125,125,127,125,123,132,135,128,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,983","3,941","4,038","4,360","4,354","4,229","4,558","4,221",
"Draught beer, low alcohol, public bar (285ml glass)",280,309,303,371,358,308,271,289,
"Draught beer, full strength, public bar (285ml glass)",321,360,328,414,390,369,369,324,
"Scotch, public bar (30ml nip)",510,635,514,606,628,460,512,524,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),411,407,442,400,377,392,480,392,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2010,,,,,,,,,
