Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
March Quarter 2006,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,296,316,307,313,290,313,342,307
,"Cheese, processed, sliced, wrapped (500g)",,427,437,428,429,438,451,496,449
,Butter (500g)(a),,312,336,297,300,286,279,315,302
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650g)(b)     ",,289,298,273,269,271,247,311,288
,"Biscuits, dry (250 g)",,185,194,177,191,182,196,205,193
,"Breakfast cereal, corn based (525 g)",,345,326,335,330,373,384,354,345
,"Flour, self raising (2 kg)",,332,391,307,381,407,263,365,391
,"Rice, long grain (1 kg)",,193,215,181,193,197,212,218,195
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(c),1123,1034,1310,1321,1202,1114,1219,1291
,,Rump steak (1 kg),1840,1922,1912,1979,1857,1876,2051,1997
,,"T-bone steak, with fillet (1 kg)",2009,1852,2121,2037,1988,1970,2137,2054
,,Chuck steak (1 kg),973,912,909,949,974,942,1099,990
,Lamb,,,,,,,,,
,,Leg (1 kg),949,834,887,886,963,953,952,866
,,Loin chops (1 kg),1660,1612,1676,1658,1660,1669,1745,1745
,,Forequarter chops (1 kg),839,846,852,949,907,910,955,856
,Pork,,,,,,,,,
,,Leg (1 kg),692,663,671,636,675,747,750,795
,,Loin chops (1 kg),1399,1344,1319,1370,1358,1304,1313,1464
,"Chicken, frozen (1 kg)(d)",,364,342,355,353,399,352,402,347
,"Bacon, middle rashers (250 g pkt)",,378,398,351,389,469,355,455,398
,Sausages (1 kg),,531,525,552,553,527,536,495,507
,"Salmon, pink (210 g can)",,251,249,257,244,264,322,271,264
 Fresh fruit and vegetables (e),,,,,,,,,,
,Oranges (1 kg),,251,259,208,145,319,217,376,252
,Bananas (1 kg) ,,248,242,231,253,302,251,294,265
,Potatoes (1 kg),,160,242,230,149,209,217,293,253
,Tomatoes (1 kg),,403,375,401,421,399,470,566,356
,Carrots (1 kg),,219,192,186,182,154,181,242,214
,Onions (1 kg),,263,250,242,254,244,215,333,259
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,275,292,296,304,297,293,296,302
,"Pineapple, sliced (450 g can)",,152,158,153,140,161,167,152,152
,"Peas, frozen (500 g pkt)",,144,161,156,136,161,167,178,166
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,362,367,351,347,374,386,368,372
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(d),(f)",,316,298,298,274,383,331,345,338
,"Sugar, white (2 kg)(d)",,190,194,186,202,241,267,223,202
,"Jam, strawberry (500 g jar)",,304,308,303,272,270,313,317,287
,Teabags (180 g pkt),,384,385,360,354,364,442,370,384
,"Coffee, instant (150 g jar)",,633,625,575,570,647,679,633,674
,Tomato sauce (600 ml),,187,184,176,163,172,205,192,179
,"Margarine, poly-unsaturated (500 g)",,261,266,256,250,263,271,270,265
,"Baked beans, in tomato sauce (420 g)",,140,136,132,128,133,138,137,133
,Baby food (120 g can),,80,80,80,78,78,81,84,79
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,537,566,540,535,521,548,570,564
,Dishwashing detergent (450 ml),,339,344,313,334,340,357,356,344
,Facial tissues (pkt 180),,208,206,205,204,208,212,212,207
,Toilet paper (8 x 190 sheet rolls),,662,649,652,640,614,679,635,632
,Pet food (400 g),,113,111,108,116,113,125,112,113
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,118.6,119.1,113.5,121.2,117.9,126.5,127.6,122.2
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2397,2387,2856,2569,3071,2833,3003,2272
,"Beer, full strength (24 x 375 ml bottles)(h)",,3717,3689,3535,3566,3628,3750,3913,3598
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,217,263,225,293,315,263,248,223
,"Draught beer, full strength, public bar (285 ml glass)(h)",,247,296,250,335,324,309,300,251
,"Scotch nip, public bar (30 ml)",,435,460,395,499,495,382,434,397
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125g),,283,300,301,263,295,288,309,279
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
(d) Represents average price of brand name and generic brand products.,,,,,,,,,,
"(e) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(f) Eggs in all capital cities have a minimum net carton weight of 700 g per dozen eggs, except Adelaide, Hobart and Darwin where they have a minimum net carton weight of 600 g per dozen.",,,,,,,,,,
,,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2006",,,,,,,,,,
