Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
June Quarter 2005,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,286,310,292,299,285,299,330,294
,"Cheese, processed, sliced, wrapped (500g)",,403,428,426,417,427,432,476,431
,Butter (500 g)(a),,294,312,254,273,264,243,273,268
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650 g)(b)     ",,251,262,245,236,250,262,292,249
,"Biscuits, dry (250 g)",,187,190,174,192,179,205,203,189
,"Breakfast cereal, corn based (550 g)",,342,326,335,330,373,372,353,346
,"Flour, self raising (2 kg)",,352,371,284,360,406,260,365,379
,"Rice, long grain (1 kg)",,196,215,197,196,211,216,217,195
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(c),984,1057,1136,1169,1092,1109,1202,1203
,,Rump steak (1 kg),1791,1857,1854,1886,1760,1776,2046,1829
,,"T-bone steak, with fillet (1 kg)",1919,1875,1846,1884,1820,1829,1954,1923
,,Chuck steak (1 kg),922,887,919,972,990,942,1010,943
,Lamb,,,,,,,,,
,,Leg (1 kg),876,824,897,898,929,894,968,901
,,Loin chops (1 kg),1584,1559,1621,1610,1636,1625,1726,1650
,,Forequarter chops (1 kg),805,803,805,861,835,903,892,782
,Pork,,,,,,,,,
,,Leg (1 kg),710,744,760,727,712,781,740,783
,,Loin chops (1 kg),1327,1232,1339,1322,1315,1227,1428,1396
,"Chicken, frozen (1 kg)",,421,365,386,367,394,378,415,380
,"Bacon, middle rashers (250 g pkt)",,378,357,356,395,492,370,455,407
,Sausages (1 kg),,503,528,515,578,494,514,492,514
,"Salmon, pink (210 g can)",,257,258,264,242,263,345,269,275
 Fresh fruit and vegetables (d),,,,,,,,,,
,Oranges (1 kg),,261,260,229,168,333,256,373,256
,Bananas (1 kg) ,,197,196,193,201,252,237,293,199
,Potatoes (1 kg),,127,176,186,119,197,183,210,191
,Tomatoes (1 kg),,380,356,375,413,427,426,498,356
,Carrots (1 kg),,202,179,188,173,141,175,216,210
,Onions (1 kg),,200,216,198,212,166,206,279,211
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,243,261,244,263,296,284,261,261
,"Pineapple, sliced (450 g can)",,151,154,157,139,161,162,142,152
,"Peas, frozen (500 g pkt)",,152,150,162,141,161,157,169,159
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,346,386,371,337,365,388,378,372
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(e),(f)",,309,300,295,299,385,391,427,305
,"Sugar, white (2 kg)(f)",,195,191,180,200,238,279,218,218
,"Jam, strawberry (500 g jar)",,255,256,240,248,267,273,257,237
,Teabags (180 g pkt),,380,375,342,347,357,440,346,379
,"Coffee, instant (150 g jar)",,571,576,528,542,635,652,593,601
,Tomato sauce (600 ml),,183,175,168,167,183,193,185,175
,"Margarine, poly-unsaturated (500 g)",,249,254,240,243,244,256,254,240
,"Baked beans, in tomato sauce (420 g)",,127,124,114,128,120,126,122,115
,Baby food (120 g can),,78,75,72,74,74,79,77,72
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,559,566,589,541,591,584,606,598
,Dishwashing detergent (450 ml),,340,314,342,287,326,332,366,293
,Facial tissues (pkt 180),,207,212,213,202,208,218,212,210
,Toilet paper (4 x 220 sheet rolls),,299,301,301,294,298,317,316,311
,Pet food (400 g),,104,102,105,100,108,112,102,109
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,108.9,105.9,99.0,107.7,104.4,113.8,114.3,108.6
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2333,2341,2713,2504,2956,2654,2895,2209
,"Beer, full strength (24 x 375 ml bottles)(h)",,3480,3561,3389,3469,3547,3661,3724,3474
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,204,248,226,286,310,259,247,214
,"Draught beer, full strength, public bar (285 ml glass)(h)",,236,283,249,320,321,305,294,244
,"Scotch nip, public bar (30 ml)",,422,429,381,502,478,381,416,381
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125 g),,291,297,298,288,284,310,309,296
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
"(d) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(e) Eggs in all capital cities have a minimum net carton weight of 700 g per dozen eggs, except Adelaide where they have a minimum net carton weight of 600 g per dozen.",,,,,,,,,,
,,,,,,,,,,
(f) Represents average price of brand name and generic brand products.,,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2005",,,,,,,,,,
