Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_201006 Average Retail Prices of Selected Items, Eight Capital Cities, Jun 2010",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 4 August 2010,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, June quarter 2010",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
Milk 2 ltr whole milk,372,365,320,359,327,368,417,388,
"Cheese, sliced (500g pkt)",537,573,527,561,538,531,571,599,
Butter (500g),408,368,346,381,396,398,466,422,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",382,382,357,365,326,319,406,373,
"Biscuits, dry (250g pkt)",237,233,229,234,242,231,252,240,
"Breakfast cereal, wheat based (750g box)",391,405,376,371,393,439,389,375,
"Flour, self raising (2kg)",313,325,340,379,368,390,404,368,
Rice (1kg),245,301,317,263,292,260,315,251,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast beef (1kg),1106,1233,1208,1040,1197,1207,1165,1277,
Rump steak (1kg),1972,1852,2120,2080,1884,1840,2167,1920,
"T-bone steak, with fillet (1kg)",2069,2119,2222,2056,2101,2067,2008,2072,
Chuck steak (1kg),1088,1043,1099,1075,1066,1083,1067,1123,
Lamb,,,,,,,,,
Leg (1kg),1119,1106,1138,1121,1148,1116,1162,1133,
Loin chops (1kg),1829,1862,1893,1958,1944,1885,1970,1931,
Forequarter chops (1kg),1071,1036,1059,1045,1096,963,1032,933,
Pork,,,,,,,,,
Leg (1kg),863,895,849,853,783,902,878,892,
Loin chops (1kg),1499,1483,1650,1549,1621,1640,1534,1481,
"Chicken, whole fresh (1kg)",572,582,541,541,619,656,505,575,
"Bacon, middle rashers (1kg)",1052,1025,944,911,977,955,1035,972,
Beef sausages (1kg),611,594,701,668,675,704,593,648,
"Salmon, pink (210g can)",371,317,345,321,373,349,350,370,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),302,295,285,307,365,252,367,278,
Bananas (1kg),234,237,225,220,316,266,415,225,
Potatoes (1kg),149,244,201,257,256,243,295,210,
Tomatoes (1kg),534,459,516,524,504,529,680,489,
Carrots (1kg),214,195,199,206,175,201,274,208,
Onions (1kg),251,235,237,239,225,176,276,225,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),391,377,385,380,397,380,398,377,
"Pineapple, sliced (450g can)",211,211,204,195,209,206,214,214,
"Peas, frozen (500g pkt)",234,215,191,199,205,214,261,182,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (200g block)",353,376,361,366,396,360,379,358,
Other food,,,,,,,,,
Eggs (1 dozen),380,437,407,411,449,424,498,446,
"Sugar, white (2kg)",267,282,260,286,326,423,312,251,
"Jam, strawberry (500g jar)",319,335,330,318,322,323,345,316,
Teabags (180g pkt),418,432,427,401,405,436,433,398,
"Coffee, instant (150g jar)",788,798,797,786,777,799,827,798,
Tomato sauce (600ml bottle),205,213,205,224,234,210,235,210,
"Margarine, poly-unsaturated (500g)",324,323,326,302,326,324,321,322,
"Baked beans, in tomato sauce (420g can)",165,167,167,162,167,167,179,161,
Baby food (110g jar),122,124,121,122,124,124,127,122,
H'hold supplies,,,,,,,,,
Laundry detergent (500g),566,537,547,560,589,566,578,604,
Dishwashing detergent (450ml),349,347,373,321,310,384,391,360,
Facial tissues (170 pack),218,233,221,217,214,219,233,210,
Toilet tissue (8 x 180 sheet rolls),714,711,700,702,735,688,717,623,
Pet food (400g can),153,153,151,150,149,155,164,151,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",127,129,130,126,129,135,134,128,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)",4016,4032,4012,4307,4362,4228,4513,4152,
"Draught beer, low alcohol, public bar (285ml glass)",281,316,303,378,358,313,274,293,
"Draught beer, full strength, public bar (285ml glass)",324,373,328,422,390,367,380,328,
"Scotch, public bar (30ml nip)",512,621,488,589,609,458,510,508,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),411,408,392,381,404,384,397,385,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2010,,,,,,,,,
