category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 litre,312.0,320.0,306.0,315.0,299.0,315.0,351.0,306.0
Dairy products,Cheese,500g,437.0,454.0,464.0,447.0,453.0,441.0,497.0,459.0
Dairy products,Butter,500g,316.0,348.0,308.0,314.0,309.0,294.0,339.0,310.0
Bread and cereal products,"Bread white loaf, sliced",650g,291.0,305.0,284.0,288.0,271.0,262.0,325.0,301.0
Bread and cereal products,"Biscuits, dry",250 g,197.0,201.0,183.0,202.0,186.0,210.0,205.0,200.0
Bread and cereal products,Breakfast cereal,525 g,356.0,358.0,341.0,352.0,362.0,416.0,361.0,375.0
Bread and cereal products,"Flour, self raising",2 kg,357.0,392.0,268.0,376.0,409.0,300.0,402.0,393.0
Bread and cereal products,Rice,1 kg,196.0,215.0,183.0,201.0,220.0,214.0,220.0,198.0
Meat and seafoods,Roast beef,1 kg,1028.0,1141.0,1179.0,1154.0,1207.0,1144.0,1160.0,1292.0
Meat and seafoods,Rump steak,1 kg,1824.0,2050.0,1960.0,2001.0,1938.0,2024.0,1966.0,1917.0
Meat and seafoods,"T-bone steak, with fillet",1 kg,1929.0,1942.0,2000.0,1972.0,1964.0,1875.0,1976.0,1995.0
Meat and seafoods,Chuck steak,1 kg,1033.0,963.0,950.0,987.0,1016.0,1005.0,1039.0,1062.0
Meat and seafoods,Lamb leg,1 kg,914.0,856.0,972.0,925.0,982.0,910.0,1024.0,903.0
Meat and seafoods,Lamb loin chops,1 kg,1729.0,1697.0,1717.0,1685.0,1713.0,1720.0,1877.0,1794.0
Meat and seafoods,Lamb forequarter chops,1 kg,883.0,897.0,883.0,953.0,944.0,905.0,945.0,892.0
Meat and seafoods,Pork leg,1 kg,618.0,712.0,653.0,717.0,721.0,824.0,745.0,796.0
Meat and seafoods,Pork loin chops,1 kg,1364.0,1329.0,1313.0,1435.0,1470.0,1352.0,1464.0,1385.0
Meat and seafoods,"Chicken, frozen",1 kg,358.0,334.0,359.0,347.0,397.0,361.0,403.0,353.0
Meat and seafoods,"Bacon, middle rashers",250 g pkt,375.0,396.0,364.0,377.0,502.0,354.0,447.0,387.0
Meat and seafoods,Sausages,1 kg,535.0,542.0,557.0,575.0,530.0,569.0,512.0,554.0
Meat and seafoods,"Salmon, pink",210 g can,240.0,238.0,257.0,249.0,264.0,335.0,284.0,272.0
Fresh fruit and vegetables,Oranges,1 kg,242.0,255.0,256.0,146.0,304.0,275.0,360.0,265.0
Fresh fruit and vegetables,Bananas,1 kg),1282.0,1271.0,1229.0,1282.0,1274.0,1218.0,1025.0,1329.0
Fresh fruit and vegetables,Potatoes,1 kg,162.0,243.0,239.0,184.0,220.0,179.0,271.0,289.0
