category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 ltr whole milk,373,362,317,349,315,366,414,389
Dairy products,Cheese,500g pkt,512,500,550,559,519,567,564,551
Dairy products,Butter,500g,425,375,352,386,418,400,465,424
Bread and cereal products,"Bread white loaf, sliced",650g-750g,379,383,349,364,325,328,414,370
Bread and cereal products,"Biscuits, dry",250g pkt,251,249,250,248,249,249,261,249
Bread and cereal products,Breakfast cereal,750g box,396,405,388,375,368,375,389,419
Bread and cereal products,"Flour, self raising",2kg,310,318,346,379,376,391,393,368
Bread and cereal products,Rice,1kg,245,295,310,255,291,251,313,262
Meat and seafoods,Roast beef,1kg,1072,1130,1090,1055,1066,1139,1066,1115
Meat and seafoods,Rump steak,1kg,1705,1839,1915,1831,1806,1872,1834,1832
Meat and seafoods,"T-bone steak, with fillet",1kg,2003,1984,2160,1983,2040,1919,2035,2000
Meat and seafoods,Chuck steak,1kg,1013,940,1081,999,1039,1014,945,1009
Meat and seafoods,Lamb leg,1kg,1196,1095,1181,1099,1203,1090,1131,1256
Meat and seafoods,Lamb loin chops,1kg,1951,1933,2134,1965,2020,1933,1954,1854
Meat and seafoods,Lamb forequarter chops,1kg,1073,983,1052,1130,1035,1074,1041,1076
Meat and seafoods,Pork leg,1kg,863,924,950,916,872,951,973,963
Meat and seafoods,Pork loin chops,1kg,1523,1578,1597,1516,1644,1687,1562,1518
Meat and seafoods,"Chicken, whole fresh",1kg,606,584,556,570,655,643,543,552
Meat and seafoods,"Bacon, middle rashers",1kg,1077,1012,944,953,926,955,1059,988
Meat and seafoods,Beef Sausages,1kg,671,645,760,637,692,714,644,641
Meat and seafoods,"Salmon, pink",210g can,366,309,327,332,350,330,357,374
Fresh fruit and vegetables,Oranges,1kg,339,290,321,317,400,354,361,301
Fresh fruit and vegetables,Bananas,1kg,255,268,254,285,343,301,421,257
Fresh fruit and vegetables,Potatoes,1kg,212,255,247,283,249,255,315,298
Fresh fruit and vegetables,Tomatoes,1kg,527,459,464,479,509,497,597,462
Fresh fruit and vegetables,Carrots,1kg,225,216,198,209,166,243,274,206
Fresh fruit and vegetables,Onions,1kg,302,289,278,312,271,202,333,308
Processed fruit and vegetables,Peaches,825g can,394,376,380,368,415,373,394,388
Processed fruit and vegetables,"Pineapple, sliced",450g can,211,213,208,198,211,210,211,205
Processed fruit and vegetables,"Peas, frozen",500g pkt,231,205,188,204,207,211,243,210
Snacks and confectionery,Chocolate milk,200g block,366,377,412,385,382,381,365,429
Other food,Eggs,1 dozen,548,541,567,509,616,529,574,552
Other food,"Sugar, white",2kg,255,286,253,286,315,396,304,241
Other food,"Jam, strawberry",500g jar,338,319,338,330,322,319,332,328
Other food,Teabags,180g pkt,426,426,412,386,410,417,418,427
Other food,"Coffee, instant",150g jar,763,795,794,801,806,799,827,794
Other food,Tomato sauce,600ml bottle,187,219,211,228,224,215,231,215
Other food,"Margarine, poly-unsaturated",500g,319,313,316,311,319,321,322,322
Other food,"Baked beans, in tomato sauce",420g can,150,159,149,157,162,167,166,156
Other food,Baby food,110g jar,116,121,121,119,125,124,124,114
Household supplies,Laundry detergent,875g,866,808,857,757,793,828,853,769
Household supplies,Dishwashing detergent,450ml,342,358,379,330,338,342,349,343
Household supplies,Facial tissues,170 pack,231,221,225,233,216,224,243,230
Household supplies,Toilet tissue,8 x 180 sheet rolls,678,743,710,709,785,771,703,758
Household supplies,Pet food,400g can,138,136,131,145,139,134,142,135
Private motoring,"Petrol, unleaded",1 litre,127,125,128,123,125,131,132,128
Alcoholic drinks,"Beer, full strength","24 x 375ml bottles, case",3973,4240,4052,4419,4324,4369,4712,4157
Alcoholic drinks,"Draught beer, low alcohol, public bar",285ml glass,288,306,313,384,362,323,282,296
Alcoholic drinks,"Draught beer, full strength, public bar",285ml glass,331,381,340,428,401,381,378,328
Alcoholic drinks,Scotch,30ml nip,522,642,523,616,617,487,507,448
Personal care products,Toilet soap,2 bar pack,419,424,405,405,413,396,430,413
