category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 ltr bottle,344,334,319,320,325,326,369,334
Dairy products,Cheese,500g pkt,422,472,454,434,465,472,564,454
Dairy products,Butter,500g,342,314,281,295,346,318,393,280
Bread and cereal products,"Bread white loaf, sliced",650g-700g,327,336,311,307,300,266,342,324
Bread and cereal products,"Biscuits, dry",250g pkt,213,208,191,212,192,218,214,210
Bread and cereal products,Breakfast cereal,525g box,356,358,328,336,375,402,347,374
Bread and cereal products,"Flour, self raising",2kg,428,449,413,414,452,312,467,482
Bread and cereal products,Rice,1kg,204,223,189,223,220,230,222,208
Meat and seafoods,Roast beef,1kg,1089,1069,1208,1160,1095,1169,1214,1291
Meat and seafoods,Rump steak,1kg,1865,2012,2013,1928,1863,1821,1741,1896
Meat and seafoods,"T-bone steak, with fillet",1kg,1865,1893,1984,1963,1939,1912,2003,1963
Meat and seafoods,Chuck steak,1kg,999,983,982,1002,1069,1003,1059,1090
Meat and seafoods,Lamb leg,1kg,893,950,930,951,969,904,953,949
Meat and seafoods,Lamb loin chops,1kg,1636,1648,1727,1712,1786,1615,1784,1706
Meat and seafoods,Lamb forequarter chops,1kg,865,885,876,921,896,813,880,783
Meat and seafoods,Pork leg,1kg,596,613,630,731,711,795,663,772
Meat and seafoods,Pork loin chops,1kg,1420,1283,1386,1386,1489,1480,1426,1360
Meat and seafoods,"Chicken, frozen",1kg,410,394,397,406,453,410,449,411
Meat and seafoods,"Bacon, middle rashers",250g pkt,413,426,406,390,534,334,463,444
Meat and seafoods,Sausages,1kg,557,571,608,567,626,617,543,691
Meat and seafoods,"Salmon, pink",210g can,251,255,250,259,279,324,291,290
Fresh fruit and vegetables,Oranges,1kg,241,252,243,240,312,280,343,206
Fresh fruit and vegetables,Bananas,1kg,518,567,553,600,671,571,550,529
Fresh fruit and vegetables,Potatoes,1kg,148,229,211,207,254,197,278,266
Fresh fruit and vegetables,Tomatoes,1kg,520,482,493,538,528,529,629,495
Fresh fruit and vegetables,Carrots,1kg,237,226,217,208,153,216,268,220
Fresh fruit and vegetables,Onions,1kg,236,221,246,226,211,228,328,230
Processed fruit and vegetables,Peaches,825g can,327,320,305,306,347,301,343,335
Processed fruit and vegetables,"Pineapple, sliced",450g can,189,189,187,197,198,198,204,195
Processed fruit and vegetables,"Peas, frozen",500g pkt,180,180,170,174,175,179,200,183
Snacks and confectionery,Chocolate milk,250g block,379,416,407,390,392,392,398,374
Other food,Eggs,1 dozen,416,448,444,413,469,408,479,430
Other food,"Sugar, white",2kg,243,242,232,260,299,362,279,231
Other food,"Jam, strawberry",500g jar,317,309,310,293,312,306,314,319
Other food,Teabags,180g pkt,358,367,349,350,344,387,380,346
Other food,"Coffee, instant",150g jar,701,725,684,701,707,747,718,653
Other food,Tomato sauce,600ml bottle,191,178,167,188,185,190,188,175
Other food,"Margarine, poly-unsaturated",500g,282,273,280,281,282,280,289,289
Other food,"Baked beans, in tomato sauce",420g can,129,120,114,134,119,130,123,122
Other food,Baby food,110g jar,106,105,102,104,106,108,105,106
Household supplies,Laundry detergent,1kg,598,600,592,598,577,598,618,593
Household supplies,Dishwashing detergent,450ml,374,340,367,366,348,358,360,360
Household supplies,Facial tissues,180 pack,214,227,211,208,220,220,234,215
Household supplies,Toilet tissue,8 x 190 sheet rolls,586,632,607,610,664,606,583,631
Household supplies,Pet food,400g can,113,107,116,118,112,126,119,110
Private motoring,"Petrol, unleaded",1 litre,122,124,116,122,124,128,136,125
Alcoholic drinks,"Beer, full strength","24 x 375ml bottles, case",3811,3791,3721,3869,3984,3861,4192,3765
Alcoholic drinks,"Draught beer, low alcohol, public bar",285ml glass,232,291,241,301,324,282,266,248
Alcoholic drinks,"Draught beer, full strength, public bar",285ml glass,266,326,269,369,347,330,312,273
Alcoholic drinks,Scotch,30ml nip,460,542,415,532,578,409,472,427
Personal care products,Toilet soap,4 bar pack,787,802,759,765,777,732,787,773
