category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 litre,286.0,310.0,292.0,299.0,285.0,299.0,330.0,294.0
Dairy products,Cheese,500g,403.0,428.0,426.0,417.0,427.0,432.0,476.0,431.0
Dairy products,Butter,500 g,294.0,312.0,254.0,273.0,264.0,243.0,273.0,268.0
Bread and cereal products,"Bread white loaf, sliced",650 g,251.0,262.0,245.0,236.0,250.0,262.0,292.0,249.0
Bread and cereal products,"Biscuits, dry",250 g,187.0,190.0,174.0,192.0,179.0,205.0,203.0,189.0
Bread and cereal products,Breakfast cereal,550 g,342.0,326.0,335.0,330.0,373.0,372.0,353.0,346.0
Bread and cereal products,"Flour, self raising",2 kg,352.0,371.0,284.0,360.0,406.0,260.0,365.0,379.0
Bread and cereal products,Rice,1 kg,196.0,215.0,197.0,196.0,211.0,216.0,217.0,195.0
Meat and seafoods,Roast beef,1 kg,984.0,1057.0,1136.0,1169.0,1092.0,1109.0,1202.0,1203.0
Meat and seafoods,Rump steak,1 kg,1791.0,1857.0,1854.0,1886.0,1760.0,1776.0,2046.0,1829.0
Meat and seafoods,"T-bone steak, with fillet",1 kg,1919.0,1875.0,1846.0,1884.0,1820.0,1829.0,1954.0,1923.0
Meat and seafoods,Chuck steak,1 kg,922.0,887.0,919.0,972.0,990.0,942.0,1010.0,943.0
Meat and seafoods,Lamb leg,1 kg,876.0,824.0,897.0,898.0,929.0,894.0,968.0,901.0
Meat and seafoods,Lamb loin chops,1 kg,1584.0,1559.0,1621.0,1610.0,1636.0,1625.0,1726.0,1650.0
Meat and seafoods,Lamb forequarter chops,1 kg,805.0,803.0,805.0,861.0,835.0,903.0,892.0,782.0
Meat and seafoods,Pork leg,1 kg,710.0,744.0,760.0,727.0,712.0,781.0,740.0,783.0
Meat and seafoods,Pork loin chops,1 kg,1327.0,1232.0,1339.0,1322.0,1315.0,1227.0,1428.0,1396.0
Meat and seafoods,"Chicken, frozen",1 kg,421.0,365.0,386.0,367.0,394.0,378.0,415.0,380.0
Meat and seafoods,"Bacon, middle rashers",250 g pkt,378.0,357.0,356.0,395.0,492.0,370.0,455.0,407.0
Meat and seafoods,Sausages,1 kg,503.0,528.0,515.0,578.0,494.0,514.0,492.0,514.0
Meat and seafoods,"Salmon, pink",210 g can,257.0,258.0,264.0,242.0,263.0,345.0,269.0,275.0
Fresh fruit and vegetables,Oranges,1 kg,261.0,260.0,229.0,168.0,333.0,256.0,373.0,256.0
Fresh fruit and vegetables,Bananas,1 kg),197.0,196.0,193.0,201.0,252.0,237.0,293.0,199.0
Fresh fruit and vegetables,Potatoes,1 kg,127.0,176.0,186.0,119.0,197.0,183.0,210.0,191.0
Fresh fruit and vegetables,Tomatoes,1 kg,380.0,356.0,375.0,413.0,427.0,426.0,498.0,356.0
Fresh fruit and vegetables,Carrots,1 kg,202.0,179.0,188.0,173.0,141.0,175.0,216.0,210.0
Fresh fruit and vegetables,Onions,1 kg,200.0,216.0,198.0,212.0,166.0,206.0,279.0,211.0
Processed fruit and vegetables,Peaches,825 g can,243.0,261.0,244.0,263.0,296.0,284.0,261.0,261.0
Processed fruit and vegetables,"Pineapple, sliced",450 g can,151.0,154.0,157.0,139.0,161.0,162.0,142.0,152.0
Processed fruit and vegetables,"Peas, frozen",500 g pkt,152.0,150.0,162.0,141.0,161.0,157.0,169.0,159.0
Snacks and confectionery,Chocolate milk,250 g,346.0,386.0,371.0,337.0,365.0,388.0,378.0,372.0
Other food,Eggs,1 dozen,309.0,300.0,295.0,299.0,385.0,391.0,427.0,305.0
Other food,"Sugar, white",2 kg,195.0,191.0,180.0,200.0,238.0,279.0,218.0,218.0
Other food,"Jam, strawberry",500 g jar,255.0,256.0,240.0,248.0,267.0,273.0,257.0,237.0
Other food,Teabags,180 g pkt,380.0,375.0,342.0,347.0,357.0,440.0,346.0,379.0
Other food,"Coffee, instant",150 g jar,571.0,576.0,528.0,542.0,635.0,652.0,593.0,601.0
Other food,Tomato sauce,600 ml,183.0,175.0,168.0,167.0,183.0,193.0,185.0,175.0
Other food,"Margarine, poly-unsaturated",500 g,249.0,254.0,240.0,243.0,244.0,256.0,254.0,240.0
Other food,"Baked beans, in tomato sauce",420 g,127.0,124.0,114.0,128.0,120.0,126.0,122.0,115.0
