category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 litre,296.0,316.0,307.0,313.0,290.0,313.0,342.0,307.0
Dairy products,Cheese,500g,427.0,437.0,428.0,429.0,438.0,451.0,496.0,449.0
Dairy products,Butter,500g,312.0,336.0,297.0,300.0,286.0,279.0,315.0,302.0
Bread and cereal products,"Bread white loaf, sliced",650g,289.0,298.0,273.0,269.0,271.0,247.0,311.0,288.0
Bread and cereal products,"Biscuits, dry",250 g,185.0,194.0,177.0,191.0,182.0,196.0,205.0,193.0
Bread and cereal products,Breakfast cereal,525 g,345.0,326.0,335.0,330.0,373.0,384.0,354.0,345.0
Bread and cereal products,"Flour, self raising",2 kg,332.0,391.0,307.0,381.0,407.0,263.0,365.0,391.0
Bread and cereal products,Rice,1 kg,193.0,215.0,181.0,193.0,197.0,212.0,218.0,195.0
Meat and seafoods,Roast beef,1 kg,1123.0,1034.0,1310.0,1321.0,1202.0,1114.0,1219.0,1291.0
Meat and seafoods,Rump steak,1 kg,1840.0,1922.0,1912.0,1979.0,1857.0,1876.0,2051.0,1997.0
Meat and seafoods,"T-bone steak, with fillet",1 kg,2009.0,1852.0,2121.0,2037.0,1988.0,1970.0,2137.0,2054.0
Meat and seafoods,Chuck steak,1 kg,973.0,912.0,909.0,949.0,974.0,942.0,1099.0,990.0
Meat and seafoods,Lamb leg,1 kg,949.0,834.0,887.0,886.0,963.0,953.0,952.0,866.0
Meat and seafoods,Lamb loin chops,1 kg,1660.0,1612.0,1676.0,1658.0,1660.0,1669.0,1745.0,1745.0
Meat and seafoods,Lamb forequarter chops,1 kg,839.0,846.0,852.0,949.0,907.0,910.0,955.0,856.0
Meat and seafoods,Pork leg,1 kg,692.0,663.0,671.0,636.0,675.0,747.0,750.0,795.0
Meat and seafoods,Pork loin chops,1 kg,1399.0,1344.0,1319.0,1370.0,1358.0,1304.0,1313.0,1464.0
Meat and seafoods,"Chicken, frozen",1 kg,364.0,342.0,355.0,353.0,399.0,352.0,402.0,347.0
