category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Other food,"Coffee, instant",150 g jar,562.0,536.0,506.0,513.0,619.0,616.0,569.0,564.0
Other food,Tomato sauce,600 ml,188.0,176.0,173.0,171.0,175.0,199.0,190.0,184.0
Other food,"Margarine, poly-unsaturated",500 g,242.0,248.0,243.0,236.0,237.0,250.0,253.0,248.0
Other food,"Baked beans, in tomato sauce",420 g,123.0,118.0,105.0,107.0,123.0,131.0,127.0,112.0
Other food,Baby food,120 g can,76.0,76.0,69.0,72.0,75.0,78.0,76.0,74.0
Household supplies,Laundry detergent,1 kg,524.0,552.0,559.0,523.0,542.0,531.0,569.0,558.0
Household supplies,Dishwashing detergent,450 ml,334.0,342.0,335.0,316.0,325.0,344.0,347.0,330.0
Household supplies,Facial tissues,pkt 180,207.0,207.0,207.0,207.0,215.0,220.0,216.0,212.0
Household supplies,Toilet paper,4 x 220 sheet rolls,301.0,306.0,292.0,297.0,298.0,317.0,316.0,311.0
Household supplies,Pet food,400 g,102.0,110.0,92.0,106.0,109.0,122.0,105.0,99.0
Private motoring,"Petrol, unleaded",1 litre,101.5,98.3,91.8,101.3,98.5,107.2,107.7,101.8
Alcoholic drinks,"Beer, low alcohol",24 x 355 ml - 375 ml bottles,2338.0,2322.0,2732.0,2492.0,3013.0,2661.0,2920.0,2275.0
Alcoholic drinks,"Beer, full strength",24 x 375 ml bottles,3570.0,3507.0,3339.0,3414.0,3590.0,3619.0,3706.0,3426.0
Alcoholic drinks,"Draught beer, low alcohol, public bar",285 ml glass,205.0,248.0,221.0,279.0,309.0,254.0,245.0,203.0
Alcoholic drinks,"Draught beer, full strength, public bar",285 ml glass,235.0,282.0,243.0,312.0,321.0,302.0,290.0,232.0
Alcoholic drinks,Scotch,30 ml,423.0,422.0,372.0,491.0,471.0,374.0,414.0,368.0
Personal care products,Toilet soap,4 x 125 g,265.0,273.0,278.0,279.0,279.0,329.0,282.0,252.0
