category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 litre,282.0,303.0,289.0,297.0,271.0,293.0,327.0,293.0
Dairy products,Cheese,500g,408.0,410.0,399.0,404.0,424.0,420.0,437.0,428.0
Dairy products,Butter,500 g,284.0,302.0,244.0,256.0,252.0,240.0,262.0,274.0
Bread and cereal products,"Bread white loaf, sliced",650 g,251.0,252.0,250.0,243.0,243.0,251.0,287.0,248.0
Bread and cereal products,"Biscuits, dry",250 g,183.0,185.0,168.0,186.0,174.0,201.0,202.0,184.0
Bread and cereal products,Breakfast cereal,550 g,342.0,326.0,335.0,330.0,360.0,363.0,353.0,346.0
Bread and cereal products,"Flour, self raising",2 kg,346.0,391.0,287.0,354.0,390.0,261.0,363.0,393.0
Bread and cereal products,Rice,1 kg,192.0,212.0,183.0,196.0,216.0,207.0,218.0,189.0
Meat and seafoods,Roast beef,1 kg,1020.0,1110.0,1131.0,1199.0,1054.0,1109.0,1271.0,1230.0
Meat and seafoods,Rump steak,1 kg,1739.0,1695.0,1789.0,1867.0,1676.0,1663.0,1920.0,1808.0
Meat and seafoods,"T-bone steak, with fillet",1 kg,1815.0,1733.0,1840.0,1825.0,1910.0,1709.0,1774.0,1884.0
Meat and seafoods,Chuck steak,1 kg,935.0,885.0,900.0,964.0,960.0,912.0,1008.0,943.0
Meat and seafoods,Lamb leg,1 kg,915.0,836.0,875.0,948.0,892.0,882.0,917.0,900.0
Meat and seafoods,Lamb loin chops,1 kg,1581.0,1585.0,1628.0,1604.0,1608.0,1556.0,1718.0,1675.0
Meat and seafoods,Lamb forequarter chops,1 kg,831.0,783.0,805.0,850.0,883.0,829.0,815.0,812.0
Meat and seafoods,Pork leg,1 kg,642.0,773.0,695.0,717.0,699.0,828.0,755.0,716.0
Meat and seafoods,Pork loin chops,1 kg,1189.0,1213.0,1251.0,1271.0,1286.0,1285.0,1380.0,1241.0
Meat and seafoods,"Chicken, frozen",1 kg,409.0,397.0,395.0,397.0,381.0,380.0,427.0,378.0
Meat and seafoods,"Bacon, middle rashers",250 g pkt,387.0,357.0,373.0,382.0,436.0,360.0,444.0,414.0
Meat and seafoods,Sausages,1 kg,507.0,521.0,491.0,539.0,478.0,546.0,517.0,514.0
Meat and seafoods,"Salmon, pink",210 g can,258.0,252.0,255.0,236.0,262.0,345.0,273.0,272.0
Fresh fruit and vegetables,Oranges,1 kg,277.0,279.0,202.0,154.0,312.0,245.0,392.0,280.0
Fresh fruit and vegetables,Bananas,1 kg),260.0,249.0,248.0,240.0,311.0,267.0,289.0,253.0
Fresh fruit and vegetables,Potatoes,1 kg,132.0,190.0,188.0,122.0,189.0,203.0,231.0,184.0
Fresh fruit and vegetables,Tomatoes,1 kg,330.0,303.0,339.0,346.0,299.0,409.0,483.0,316.0
Fresh fruit and vegetables,Carrots,1 kg,209.0,180.0,186.0,174.0,137.0,176.0,215.0,216.0
Fresh fruit and vegetables,Onions,1 kg,219.0,222.0,199.0,231.0,188.0,199.0,283.0,223.0
Processed fruit and vegetables,Peaches,825 g can,243.0,247.0,249.0,241.0,272.0,260.0,266.0,272.0
Processed fruit and vegetables,"Pineapple, sliced",450 g can,145.0,151.0,151.0,134.0,154.0,160.0,144.0,145.0
Processed fruit and vegetables,"Peas, frozen",500 g pkt,166.0,164.0,171.0,152.0,169.0,175.0,191.0,173.0
Snacks and confectionery,Chocolate milk,250 g,336.0,353.0,346.0,329.0,339.0,385.0,359.0,368.0
Other food,Eggs,1 dozen,322.0,306.0,299.0,293.0,393.0,388.0,411.0,321.0
Other food,"Sugar, white",2 kg,199.0,203.0,185.0,204.0,242.0,282.0,224.0,220.0
Other food,"Jam, strawberry",500 g jar,259.0,279.0,277.0,255.0,269.0,288.0,294.0,299.0
Other food,Teabags,180 g pkt,350.0,375.0,344.0,332.0,360.0,408.0,370.0,384.0
