category,item,quantity,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Dairy products,Milk,2 litre,322.0,323.0,313.0,318.0,301.0,318.0,357.0,313.0
Dairy products,Cheese,500g,433.0,446.0,452.0,436.0,450.0,436.0,500.0,448.0
Dairy products,Butter,500g,328.0,358.0,308.0,312.0,312.0,285.0,332.0,322.0
Bread and cereal products,"Bread white loaf, sliced",650g,297.0,299.0,291.0,289.0,279.0,265.0,351.0,295.0
Bread and cereal products,"Biscuits, dry",250 g,198.0,201.0,183.0,202.0,184.0,208.0,207.0,200.0
Bread and cereal products,Breakfast cereal,525 g,373.0,358.0,338.0,354.0,376.0,418.0,357.0,375.0
Bread and cereal products,"Flour, self raising",2 kg,384.0,419.0,359.0,408.0,393.0,283.0,419.0,421.0
Bread and cereal products,Rice,1 kg,206.0,228.0,198.0,222.0,225.0,232.0,228.0,209.0
Meat and seafoods,Roast beef,1 kg,1124.0,1038.0,1194.0,1163.0,1236.0,1175.0,1156.0,1221.0
Meat and seafoods,Rump steak,1 kg,1759.0,1994.0,1844.0,1923.0,1857.0,1986.0,1901.0,1952.0
Meat and seafoods,"T-bone steak, with fillet",1 kg,2069.0,1896.0,1847.0,2041.0,1980.0,1741.0,2091.0,1921.0
Meat and seafoods,Chuck steak,1 kg,1019.0,955.0,928.0,987.0,1022.0,1023.0,1053.0,1041.0
Meat and seafoods,Lamb leg,1 kg,922.0,906.0,931.0,900.0,988.0,938.0,976.0,933.0
Meat and seafoods,Lamb loin chops,1 kg,1692.0,1642.0,1626.0,1670.0,1766.0,1669.0,1731.0,1775.0
Meat and seafoods,Lamb forequarter chops,1 kg,875.0,903.0,863.0,946.0,870.0,867.0,931.0,819.0
Meat and seafoods,Pork leg,1 kg,638.0,727.0,695.0,743.0,716.0,808.0,752.0,734.0
Meat and seafoods,Pork loin chops,1 kg,1306.0,1326.0,1397.0,1406.0,1433.0,1328.0,1415.0,1369.0
Meat and seafoods,"Chicken, frozen",1 kg,350.0,325.0,361.0,360.0,380.0,368.0,406.0,354.0
Meat and seafoods,"Bacon, middle rashers",250 g pkt,416.0,405.0,378.0,390.0,462.0,367.0,435.0,414.0
Meat and seafoods,Sausages,1 kg,554.0,573.0,562.0,581.0,595.0,599.0,533.0,581.0
